Plot,Subplot,Date,Exposure,Focus,Openness
JZ,027C,19Feb2020,EV+2,MF,0.9052559397317085
JZ,028A,19Feb2020,EV+2,MF,0.9173574187421568
JZ,028A,19Feb2020,EV0,MF,0.685240764050117
JZ,028B,19Feb2020,EV+2,MF,0.8704107140776357
JZ,028B,19Feb2020,EV0,AF,0.2940391384463359
JZ,028B,19Feb2020,EV0,MF,0.4872567354838906
JZ,028C,19Feb2020,EV+2,AF,0.9306795705228829
JZ,028C,19Feb2020,EV+2,MF,0.8048745435634093
JZ,028C,19Feb2020,EV-2,AF,0.20359227241306047
JZ,028C,19Feb2020,EV-2,MF,0.18864065310361347
JZ,029A,19Feb2020,EV+2,AF,0.8412032619583912
JZ,029A,19Feb2020,EV-2,AF,0.10734602337584614
JZ,029A,19Feb2020,EV-2,MF,0.17788220990252673
JZ,029A,19Feb2020,EV0,AF,0.5898269324456173
JZ,029A,19Feb2020,EV0,MF,0.6770210999821629
JZ,029B,19Feb2020,EV+2,AF,0.887919140597288
JZ,029B,19Feb2020,EV-2,AF,0.0443046530057278
JZ,029B,19Feb2020,EV0,AF,0.24337688805724972
JZ,029B,19Feb2020,EV0,MF,0.26647853168398894
JZ,029C,19Feb2020,EV+2,AF,0.9360814586186479
JZ,029C,19Feb2020,EV-2,MF,0.10316658651059192
JZ,029C,19Feb2020,EV0,AF,0.4153440862453709
JZ,029C,19Feb2020,EV0,MF,0.38358627269774753
JZ,030A,2Mar2020,EV+2,AF,0.9523149569265198
JZ,030A,2Mar2020,EV0,AF,0.7400064604277623
JZ,030A,2Mar2020,EV0,MF,0.714551850272065
JZ,030B,2Mar2020,EV+2,MF,0.906383131966511
JZ,030B,2Mar2020,EV-2,AF,0.46611768506199347
JZ,030B,2Mar2020,EV0,AF,0.7008950583318048
JZ,030B,2Mar2020,EV0,MF,0.69056002005122
JZ,030C,2Mar2020,EV+2,AF,0.9609163187354173
JZ,030C,2Mar2020,EV-2,MF,0.11484308554526385
JZ,030C,2Mar2020,EV0,MF,0.6360180132438737
JZ,031A,2Mar2020,EV+2,AF,0.9347692923650028
JZ,031A,2Mar2020,EV+2,MF,0.9326631006494989
JZ,031A,2Mar2020,EV-2,AF,0.17269431932876866
JZ,031A,2Mar2020,EV-2,MF,0.1763148452139004
JZ,031A,2Mar2020,EV0,AF,0.6549657207388266
JZ,031A,2Mar2020,EV0,MF,0.6494095819310808
JZ,031B,2Mar2020,EV+2,AF,0.9271117232145942
JZ,031B,2Mar2020,EV+2,MF,0.9335157419916731
JZ,031B,2Mar2020,EV-2,AF,0.10943937976105501
JZ,031B,2Mar2020,EV-2,MF,0.13887403263959575
JZ,031B,2Mar2020,EV0,MF,0.6157134977019754
JZ,031C,2Mar2020,EV+2,MF,0.9592334131366843
JZ,031C,2Mar2020,EV-2,AF,0.1712854294962717
JZ,031C,2Mar2020,EV-2,MF,0.09180761737520587
JZ,031C,2Mar2020,EV0,AF,0.8542665473415597
JZ,031C,2Mar2020,EV0,MF,0.38952578677050986
JZ,032A,2Mar2020,EV+2,AF,0.9309467234472666
JZ,032A,2Mar2020,EV+2,MF,0.9253768297827977
JZ,032A,2Mar2020,EV0,AF,0.6560950485933307
JZ,032A,2Mar2020,EV0,MF,0.6555077224618665
