Plot,Subplot,Date,Exposure,Focus,Openness
JZ,011C,17May2021,EV-4,AF,0.051014775968821965
JZ,011C,17May2021,EV0,AF,0.14781124720370953
JZ,012A,17May2021,EV-2,M,0.1257556238867101
JZ,012A,17May2021,EV-4,M,0.07324475207295657
JZ,012A,17May2021,EV0,M,0.22210367937618936
JZ,012B,17May2021,EV-2,AF,0.14400843354206122
JZ,012B,17May2021,EV-4,AF,0.0778031656666308
JZ,012B,17May2021,EV0,AF,0.22959877997997372
JZ,012C,17May2021,EV-2,AF,0.15917576438119235
JZ,012C,17May2021,EV-4,AF,0.07872308509307412
JZ,012C,17May2021,EV0,AF,0.2653366080020406
JZ,013A,17May2021,EV-2,AF,0.09754270469351395
JZ,013A,17May2021,EV-4,AF,0.04479763269570489
JZ,013A,17May2021,EV0,AF,0.19910235902190265
JZ,013B,17May2021,EV-2,AF,0.14784527092221011
JZ,013B,17May2021,EV-4,AF,0.07950033860781248
JZ,013B,17May2021,EV0,AF,0.26412659275549677
JZ,013C,17May2021,EV-2,AF,0.08387042636351982
JZ,013C,17May2021,EV-4,AF,0.03915428295436732
JZ,013C,17May2021,EV0,AF,0.17552511903138374
JZ,014A,18May2021,EV-2,M,0.2519850251051177
JZ,014A,18May2021,EV-4,M,0.15053147850819731
JZ,014A,18May2021,EV0,M,0.46760094747875197
JZ,014B,17May2021,EV-2,AF,0.11156648399339114
JZ,014B,17May2021,EV-4,AF,0.0661786816635239
JZ,014B,17May2021,EV0,AF,0.21610089812849512
JZ,014C,17May2021,EV-2,AF,0.13010829354323586
JZ,014C,17May2021,EV-4,AF,0.05914399813392179
JZ,014C,17May2021,EV0,AF,0.2667518975540153
JZ,015A,18May2021,EV-2,AF,0.09633388368555165
JZ,015A,18May2021,EV-4,AF,0.053255133865686935
JZ,015A,18May2021,EV0,AF,0.21531695547444296
JZ,015B,18May2021,EV-2,AF,0.13942489909767608
JZ,015B,18May2021,EV-4,AF,0.09495097726770474
JZ,015B,18May2021,EV0,AF,0.22247725321639567
JZ,015C,18May2021,EV-2,AF,0.07622895740483515
JZ,015C,18May2021,EV-4,AF,0.030810786612775504
JZ,015C,18May2021,EV0,AF,0.22798324764848887
JZ,016A,18May2021,EV-2,AF,0.10323079211191835
JZ,016A,18May2021,EV-4,AF,0.06185768203938072
JZ,016A,18May2021,EV0,AF,0.19958029801088653
JZ,016B,18May2021,EV-2,AF,0.1765126298994743
JZ,016B,18May2021,EV-4,AF,0.10354840636266623
JZ,016B,18May2021,EV0,AF,0.3383849939406536
JZ,016C,18May2021,EV-2,AF,0.10535136914123704
JZ,016C,18May2021,EV-4,AF,0.060328044604396135
JZ,016C,18May2021,EV0,AF,0.237517739589597
JZ,017A,18May2021,EV-2,M,0.08507683420734868
JZ,017A,18May2021,EV-4,M,0.03166239051671454
JZ,017A,18May2021,EV0,M,0.23374164019340635
JZ,017B,18May2021,EV-2,AF,0.07354382868250975
JZ,017B,18May2021,EV-4,AF,0.042530343400188395
JZ,017B,18May2021,EV0,AF,0.1847230969846356
JZ,017C,18May2021,EV-2,AF,0.07281912453863913
JZ,017C,18May2021,EV-4,AF,0.03733815592581316
JZ,017C,18May2021,EV0,AF,0.20958036878987982
JZ,018A,18May2021,EV-2,M,0.09753277978527482
JZ,018A,18May2021,EV-4,M,0.048755291094657434
JZ,018A,18May2021,EV0,M,0.26959898840600005
JZ,018B,18May2021,EV-2,AF,0.09369617267503798
JZ,018B,18May2021,EV-4,AF,0.0464331653678909
JZ,018B,18May2021,EV0,AF,0.2033414965391386
JZ,018C,18May2021,EV-2,AF,0.093992151843429
JZ,018C,18May2021,EV-4,AF,0.05194161048971575
JZ,018C,18May2021,EV0,AF,0.20764654848805503
JZ,019A,18May2021,EV-2,AF,0.07025475341674382
JZ,019A,18May2021,EV-4,AF,0.02773708348614707
JZ,019A,18May2021,EV0,AF,0.21043766954347293
JZ,019B,18May2021,EV-2,AF,0.10224650762276585
JZ,019B,18May2021,EV-4,AF,0.056654606692163254
JZ,019B,18May2021,EV0,AF,0.2281059092880695
JZ,019C,18May2021,EV-2,AF,0.09192225131400025
JZ,019C,18May2021,EV-4,AF,0.04821799476113222
JZ,019C,18May2021,EV0,AF,0.18834975172382706
JZ,020A,19May2021,EV-2,AF,0.09202530588655027
JZ,020A,19May2021,EV-4,AF,0.04624970402029587
JZ,020A,19May2021,EV0,AF,0.3036215730495157
JZ,020B,19May2021,EV-2,AF,0.09714398566446805
JZ,020B,19May2021,EV-4,AF,0.04682076455979266
JZ,020B,19May2021,EV0,AF,0.21068302819203383
JZ,020C,19May2021,EV-2,M,0.06674129248574306
JZ,020C,19May2021,EV-4,M,0.038203454149240326
JZ,020C,19May2021,EV0,M,0.157301404561387
JZ,021A,19May2021,EV-2,M,0.049460683510310924
JZ,021A,19May2021,EV-4,M,0.02749967498921427
JZ,021A,19May2021,EV0,M,0.13819388010243497
JZ,021B,19May2021,EV-2,AF,0.09783748974106307
JZ,021B,19May2021,EV-4,AF,0.05769016172286576
JZ,021B,19May2021,EV0,AF,0.19647378632787021
JZ,021C,19May2021,EV-2,AF,0.05499805110462848
JZ,021C,19May2021,EV-4,AF,0.03382005149783621
JZ,021C,19May2021,EV0,AF,0.15635048818802014
JZ,022A,19May2021,EV-2,AF,0.06819586777801649
JZ,022A,19May2021,EV-4,AF,0.039432231191585204
JZ,022A,19May2021,EV0,AF,0.17379077349872984
JZ,022B,19May2021,EV-2,AF,0.07964066759631373
JZ,022B,19May2021,EV-4,AF,0.038875244696326625
JZ,022B,19May2021,EV0,AF,0.20283940702379927
JZ,022C,19May2021,EV-2,AF,0.14101422957580095
JZ,022C,19May2021,EV-4,AF,0.0956068335657143
JZ,022C,19May2021,EV0,AF,0.2216828791095224
JZ,023A,19May2021,EV-2,AF,0.09383767752479466
JZ,023A,19May2021,EV-4,AF,0.04705114998213797
JZ,023A,19May2021,EV0,AF,0.2586053356406094
JZ,023B,19May2021,EV-2,AF,0.08283397509833465
JZ,023B,19May2021,EV-4,AF,0.045754678893332866
JZ,023B,19May2021,EV0,AF,0.22031558194502127
JZ,023C,19May2021,EV-2,AF,0.04882480818100379
JZ,023C,19May2021,EV-4,AF,0.02606815191045617
JZ,023C,19May2021,EV0,AF,0.1355322363841528
JZ,024A,19May2021,EV-2,AF,0.09920601140485133
JZ,024A,19May2021,EV-4,AF,0.048484047232803196
JZ,024A,19May2021,EV0,AF,0.20450507886034044
JZ,024B,19May2021,EV-2,AF,0.09853010147875663
JZ,024B,19May2021,EV-4,AF,0.053835710451289945
JZ,024B,19May2021,EV0,AF,0.2046861216882876
JZ,024C,19May2021,EV-2,AF,0.11372597590413347
JZ,024C,19May2021,EV-4,AF,0.0726183522640011
JZ,024C,19May2021,EV0,AF,0.2068812604864988
JZ,025A,20May2021,EV-2,AF,0.08822440180624704
JZ,025A,20May2021,EV-4,AF,0.05183230496238783
JZ,025A,20May2021,EV0,AF,0.17685693034523273
JZ,025B,20May2021,EV-2,AF,0.06585837360153743
JZ,025B,20May2021,EV-4,AF,0.023152984166986045
JZ,025B,20May2021,EV0,AF,0.2967567646155316
JZ,025C,20May2021,EV-2,AF,0.06079418138554728
JZ,025C,20May2021,EV-4,AF,0.02386671655289636
JZ,025C,20May2021,EV0,AF,0.1788388380318433
JZ,026A,20May2021,EV-2,AF,0.13845434164422926
JZ,026A,20May2021,EV-4,AF,0.10146488433070355
JZ,026A,20May2021,EV0,AF,0.18678639625618845
JZ,026B,20May2021,EV-2,M,0.11135932424372455
JZ,026B,20May2021,EV-4,M,0.05978609146855293
JZ,026B,20May2021,EV0,M,0.2308156838028282
JZ,026C,20May2021,EV-2,AF,0.1744414767899362
JZ,026C,20May2021,EV-4,AF,0.12283031122266638
JZ,026C,20May2021,EV0,AF,0.27908502909680677
JZ,027A,20May2021,EV-2,M,0.06697127190973956
JZ,027A,20May2021,EV-4,M,0.0333092582129699
JZ,027A,20May2021,EV0,M,0.18186641548072147
JZ,027B,20May2021,EV-2,AF,0.2667453854427976
JZ,027B,20May2021,EV-4,AF,0.24110532906453283
JZ,027B,20May2021,EV0,AF,0.3379387941561392
JZ,027C,20May2021,EV-2,AF,0.11331321394073507
JZ,027C,20May2021,EV-4,AF,0.08033602230705822
JZ,027C,20May2021,EV0,AF,0.1807939827990887
JZ,028A,20May2021,EV-2,AF,0.08761614437675955
JZ,028A,20May2021,EV-4,AF,0.0430969192914991
JZ,028A,20May2021,EV0,AF,0.20069505734008258
JZ,028B,20May2021,EV-2,AF,0.09789189671663154
